iter	Passed	Remaining
0	19	3962
1	37	3758
2	55	3637
3	73	3615
4	92	3608
5	110	3584
6	134	3701
7	155	3736
8	181	3853
9	203	3867
10	230	3961
11	244	3828
12	256	3687
13	270	3587
14	283	3492
15	297	3419
16	315	3391
17	329	3334
18	342	3265
19	354	3192
20	367	3129
21	380	3076
22	392	3018
23	404	2962
24	417	2923
25	431	2885
26	442	2836
27	454	2789
28	466	2750
29	479	2714
30	489	2670
31	501	2633
32	515	2606
33	527	2573
34	538	2539
35	551	2511
36	563	2482
37	575	2453
38	587	2423
39	598	2393
40	609	2364
41	621	2338
42	631	2306
43	642	2276
44	652	2248
45	663	2222
46	674	2195
47	685	2170
48	696	2146
49	706	2120
50	718	2098
51	728	2074
52	739	2050
53	750	2027
54	761	2006
55	771	1984
56	782	1962
57	792	1940
58	802	1918
59	813	1897
60	824	1877
61	834	1857
62	845	1837
63	855	1818
64	867	1801
65	877	1782
66	888	1764
67	899	1746
68	910	1728
69	921	1710
70	931	1692
71	941	1674
72	952	1656
73	962	1638
74	975	1625
75	987	1610
76	999	1596
77	1011	1581
78	1023	1566
79	1034	1551
80	1045	1535
81	1056	1520
82	1066	1504
83	1077	1488
84	1088	1473
85	1099	1457
86	1110	1441
87	1120	1426
88	1130	1410
89	1141	1395
90	1152	1379
91	1162	1365
92	1173	1349
93	1184	1335
94	1195	1320
95	1206	1306
96	1217	1292
97	1228	1278
98	1239	1264
99	1250	1250
100	1261	1236
101	1272	1222
102	1283	1208
103	1294	1194
104	1306	1181
105	1321	1172
106	1336	1161
107	1348	1148
108	1359	1134
109	1370	1121
110	1380	1107
111	1390	1092
112	1401	1079
113	1412	1065
114	1423	1052
115	1433	1037
116	1443	1024
117	1454	1010
118	1465	997
119	1475	983
120	1485	970
121	1496	956
122	1507	943
123	1518	930
124	1529	917
125	1539	904
126	1551	891
127	1561	878
128	1573	866
129	1586	854
130	1598	842
131	1610	829
132	1622	817
133	1633	804
134	1644	791
135	1656	779
136	1666	766
137	1677	753
138	1687	740
139	1698	728
140	1709	715
141	1720	702
142	1731	690
143	1742	677
144	1752	664
145	1763	652
146	1773	639
147	1784	627
148	1796	614
149	1806	602
150	1817	589
151	1828	577
152	1838	564
153	1848	552
154	1859	539
155	1870	527
156	1883	515
157	1896	504
158	1907	491
159	1919	479
160	1929	467
161	1940	455
162	1951	442
163	1962	430
164	1972	418
165	1983	406
166	1993	393
167	2004	381
168	2015	369
169	2026	357
170	2036	345
171	2046	333
172	2057	321
173	2068	309
174	2078	296
175	2089	284
176	2100	272
177	2111	260
178	2122	249
179	2133	237
180	2144	225
181	2155	213
182	2166	201
183	2177	189
184	2191	177
185	2203	165
186	2215	154
187	2227	142
188	2238	130
189	2249	118
190	2260	106
191	2271	94
192	2282	82
193	2294	70
194	2304	59
195	2315	47
196	2325	35
197	2336	23
198	2346	11
199	2356	0
